1,Section0: Organization Context,Organization size,< 50 employees,50–200,200–500,500–1000,1000+,A,N/A,"The organization is a small team with fewer than 50 employees, enabling fast decision-making but limited formal structures around AI adoption."
2,Section0: Organization Context,Industry / sector,Technology,Financial / Professional Services,Healthcare / Life Sciences	Manufacturing / Retail,Healthcare / Life Sciences,Public sector / Education,A,N/A,"The organization operates in the technology sector, with a strong focus on software development and engineering productivity."
3,Section0: Organization Context,Primary motivation for AI adoption,Exploration / curiosity,Cost reduction,Productivity improvement,Revenue growth,Competitive differentiation,C,2,"AI is primarily adopted to improve developer productivity, especially by accelerating coding, debugging, and documentation tasks rather than driving new AI-based products or revenue streams."
4,Section0: Organization Context,Current AI adoption stage (self-assessment),No AI usage,Experiments only,Pilots in progress,Multiple production systems,AI embedded across operations,B,2,"AI usage is largely experimental and tool-driven, focused on individual productivity rather than formalized, organization-wide AI systems or workflows."
5,Section0: Organization Context,Urgency for AI impact,No urgency,12+ months,6–12 months,3–6 months,Immediate / critical,C,3,"While AI impact is not mission-critical in the immediate term, there is a clear expectation that AI-driven efficiency gains will be important within the next 6–12 months."
6,Section A: AI Governance & Risk,Is there a clearly defined owner or governing body for AI decisions?,No owner,Informal responsibility,Named AI lead,Governance committee,Enterprise-wide AI governance model,B,2,"AI-related decisions are handled informally by engineering leadership, without a formally designated AI owner or governance body."
7,Section A: AI Governance & Risk,Does your organization have a formal AI ethics or responsible-AI policy?,None,Informal discussions,Draft or partial policy,Approved and enforced policy,Audited and continuously updated policy,A,1,There is currently no formal AI ethics or responsible-AI policy; considerations are handled on an ad-hoc basis when questions arise.
8,Section A: AI Governance & Risk,"How are AI-related risks (bias, security, regulatory) assessed?",Not assessed,Informally discussed,Adapted IT risk processes,Dedicated AI risk framework,Continuous AI-specific risk monitoring,B,2,Potential AI risks such as security or misuse are discussed informally within the engineering team but are not assessed through a structured framework.
9,Section A: AI Governance & Risk,How consistently are AI governance standards applied across teams?,Not applied,Inconsistent,Applied in key projects,Enforced across business units,Embedded into delivery workflows,B,2,"Since governance standards are informal, application varies by team and individual practices rather than being consistently enforced."
10,Section A: AI Governance & Risk,How are regulatory and compliance requirements handled for AI?,Reactive,Case-by-case,Included in reviews,Built into lifecycle controls,Policy-driven and automated,A,1,Regulatory and compliance considerations related to AI are addressed reactively if and when they become relevant.
11,Section A: AI Governance & Risk,How mature is AI auditability and documentation?,No documentation,Minimal documentation,Project-level documentation,Standardized documentation,"Audit-ready, enterprise standards",B,2,Documentation related to AI usage is minimal and typically limited to general engineering notes rather than formal audit-ready records.
12,Section B: Data Readiness,How standardized are data definitions and business semantics?,No shared definitions,Informal alignment,Common glossary,Enterprise semantic standards,Machine-readable ontologies,B,2,"Data definitions are aligned informally through team communication, without a shared or formally maintained data glossary."
13,Section B: Data Readiness,How accessible are high-value datasets for AI use?,Manual approvals only,Limited self-service,Governed self-service,Automated role-based access,Real-time policy-driven access,A,1,"Access to datasets is handled manually and on a case-by-case basis, reflecting limited AI-driven data usage."
14,Section B: Data Readiness,How are third-party data sources evaluated?,Not evaluated,Informal review,Quality & licensing checks,"Risk, bias, provenance review",Continuous monitoring,A,1,The organization does not currently use or formally evaluate third-party data sources for AI purposes.
